,relationRT,relationOneTwo,relationBlueOne,relationBlueTwo,expRT,expButton,exp1,exp2,desire1RT,desire1,desire2RT,desire2,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionButton,attentionBulb1,attentionBulb2,id,language,age,gender,condition,totalRT,flat,intentionMean
191,37.621,6,4,9,13.036,1,9,1,7.096,9,4.2,1,11.247,7,8.629,7,16.567,2,8.63,0,0,1,615874b1da0995dbb7df6c6b,Portuguese,36,Male,condition 1,6.865766667,FALSE,9
192,53.458,5,1,9,44.113,1,9,1,8.382,9,3.559,1,6.267,9,8.539,8,13.94,2,20.992,0,0,1,5fb70800c645491e11fdb192,igbo,29,Female,condition 1,8.61995,FALSE,8.5
197,78.974,1,5,9,39.269,1,1,9,10.63,4,5.119,9,9.068,9,10.578,1,25.809,2,32.312,0,0,1,61532b36fb52a48d503d14f2,Venda,24,Female,condition 2,9.022416667,FALSE,9
198,14.514,6,5,6,5.182,6,5,6,2.1,6,5.453,7,2.011,5,6.941,7,37.602,2,16.964,1,1,1,6002e4616f4b4f25a7ea96b4,Moldavian,20,Female,condition 2,10.31131667,FALSE,6.5
199,48.358,4,4,9,14.566,1,1,9,5.567,1,2.503,9,5.32,9,6.127,1,13.007,2,21.231,0,0,1,603048cc746452ebcc634a04,polish,18,Male,condition 2,7.988216667,FALSE,9
203,31.244,2,2,7,92.232,1,5,5,3.488,4,1.134,4,3.216,6,5.559,3,8.83,2,8.934,0,0,1,6071d42438f4fc44ff6b54c5,Polish,28,Male,condition 1,4.430933333,FALSE,7
204,81.5,5,1,9,10.002,9,1,9,4.855,5,3.391,5,25.198,6,10.288,1,15.638,2,70.853,1,0,1,615240e4ba7f7b8927fb80dc,Spanish,19,Male,condition 2,8.742183333,FALSE,8
205,53.702,7,2,9,63.685,2,3,9,5.523,9,5.9,9,10.678,9,11.02,9,62.716,4,32.597,0,0,1,5e52a7dac6d034000ab15eb1,Spanish,45,Male,condition 2,8.469,FALSE,9
208,48.249,4,2,9,42.377,2,5,5,10.527,5,3.243,5,5.803,7,6.668,3,22.183,2,15.43,0,0,1,615e8cae688ae33fe6406d83,NA,NA,NA,condition 2,9.56505,FALSE,8
210,23.607,5,5,8,20.053,6,6,6,5.984,7,2.216,7,4.864,3,5.447,4,11.67,2,10.127,0,0,1,60618c8d304f61a93701d5ca,Portuguese,21,Female,condition 2,10.84595,FALSE,7.5
211,42.29,3,3,9,44.577,6,2,6,7.096,8,4.639,2,9.174,7,13.8,3,58.564,2,36.494,1,0,1,60e2f552aa84193b0f04703a,italian,45,Male,condition 1,8.356183333,FALSE,4
212,51.683,4,7,8,46.038,6,2,9,11.376,3,6.579,9,4.699,6,12.987,3,16.33,2,37.94,1,0,1,617643296ef9b0d0e80e69a2,isiZulu,NA,Female,condition 2,8.30225,FALSE,7
213,22.183,1,1,9,17.398,1,9,1,5.296,9,5.431,1,191.247,9,12.152,5,19.031,2,29.76,1,0,1,615046c5dc8d53b5ddf25d56,English,35,Female,condition 1,10.09291667,FALSE,5
215,51.741,9,3,9,81.204,3,2,9,13.008,9,19.688,9,37.792,9,17.976,3,52.742,2,26.062,0,0,1,590741365905400001ef09ec,Italian,48,Male,condition 2,11.37601667,FALSE,9
216,139.279,3,2,7,51.176,2,8,8,12.022,7,10.36,7,16.157,5,16.614,2,39.234,4,22.433,0,0,1,61422a9863b7b7dfaf343833,ENGLISH,52,Female,condition 1,11.2306,FALSE,4.5
218,88.495,5,1,9,22.024,8,5,9,18.151,5,5.183,9,7.569,5,14.906,2,42.123,2,47.308,1,0,1,60f5b5b84d05610a9c6b3666,ENGLISH,21,Female,condition 2,11.22103333,FALSE,8
219,91.867,3,5,8,49.808,1,5,7,9.587,5,7.706,5,20.287,8,18.294,2,51.62,2,29.249,0,0,1,591a3d023d3e900001045994,Finnish,38,Male,condition 2,12.72946667,FALSE,6.5
222,139.745,5,2,9,39.185,1,9,1,7.151,9,8.154,1,14.171,4,13.3,8,20.033,2,14.094,0,0,1,60e0cf237e07c531931c5ea7,Swati,23,Female,condition 1,15.20426667,FALSE,6.5
223,44.806,5,2,9,19.531,3,9,1,3.216,9,2.276,1,10.865,3,11.389,4,26.225,2,11.579,0,0,1,6100328a5a4c9847cdb0ca41,Slovenian,22,Female,condition 1,15.30086667,FALSE,8.5
224,33.726,1,1,9,22.456,2,3,7,4.611,5,4.851,6,4.445,5,6.436,1,20.993,2,30.681,0,0,1,5fd10e8c048fb6045d68db76,Portuguese,21,Male,condition 2,15.54231667,FALSE,7.5
225,32.336,8,3,8,13.076,2,8,8,6.135,5,4.063,5,9.448,9,7.838,2,11.95,2,10.615,0,0,1,61144108e54209d166870411,Portuguese,34,Male,condition 2,18.43581667,FALSE,8.5
228,126.217,1,2,8,69.195,3,4,5,31.487,7,12.629,3,24.276,3,29.343,4,127.456,4,47.731,0,0,1,5e2228e12de14b000a50edc7,NA,NA,NA,condition 2,17.55103333,FALSE,6
229,24.784,8,2,2,22.995,5,2,7,8.018,4,3.541,6,7.032,5,6.824,2,15.036,2,26.775,0,0,1,61449a6fc9d878e127bf730b,portuguese,32,Female,condition 2,4.532883333,FALSE,7
232,33.414,4,7,8,21.63,7,5,5,3.624,3,2.888,5,7.119,7,5.968,1,15.134,2,12.512,0,0,1,60e5cd4e3d91b6025c62b9fe,Italian,31,Male,condition 2,26.69156667,FALSE,6
233,18.235,3,3,9,8.984,1,1,9,2.074,1,1.56,9,2.527,9,2.67,1,5.718,2,10.431,0,0,1,5f241d9e2899d60008642137,Polish,20,Male,condition 2,33.56443333,FALSE,8
235,43.246,1,9,9,12.518,1,9,1,3.468,9,3.068,1,356.578,4,8.101,5,7.536,2,13.253,1,1,0,5f85937a1aba21000962d0fc,Polish,27,Male,condition 1,9.55385,FALSE,7
