,relationRT,relationOneTwo,relationBlueOne,relationBlueTwo,expRT,expButton,exp1,exp2,desire1RT,desire1,desire2RT,desire2,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionButton,attentionBulb1,attentionBulb2,id,language,age,gender,condition,totalRT,flat,intentionMean
111,30.687,3,2,8,31.476,3,4,4,6.559,5,2.692,5,5.303,6,7.533,3,16.247,2,15.908,0,0,1,6107b22301b0737ed0f6c673,hungarian,20,Female,condition 2,4.335933333,FALSE,6
112,26.399,6,4,9,10.505,1,9,1,2.376,9,3.62,1,3.998,4,6.24,6,11.853,2,10.497,0,0,1,5ff0c10d9bf07d463b719e0e,Portugal,19,Male,condition 1,4.099383333,FALSE,5.5
113,21.248,1,1,9,9.51,1,5,5,3.359,5,1.512,5,4.073,3,5.728,3,10.031,2,10.744,0,0,1,56b1c58c390ebc000d5bf001,Dutch,41,Male,condition 2,3.423533333,FALSE,7
115,14.191,1,1,9,10.352,1,1,9,4.073,7,5.678,9,5.513,4,6.918,8,9.691,2,7.318,0,0,1,5f6f6363bc475b4ef318efb8,Telugu,20,Male,condition 2,2.78795,FALSE,6
116,31.333,1,1,9,26.055,9,1,9,4.287,1,2.368,9,5.792,8,5.984,9,12.374,2,49.031,1,0,0,5f6a07d3031e600480a4896b,Portuguese,23,Male,condition 2,4.65895,FALSE,8.5
117,24.796,2,4,7,20.218,1,9,3,2.874,9,2.794,2,5.912,4,7.875,3,8.699,2,10.238,0,0,1,5c573b734dabe6000176ac3d,NA,NA,NA,condition 1,3.82035,FALSE,8
120,42.061,5,7,4,14.916,7,6,7,6.04,5,2.111,6,16.944,6,17.311,4,13.903,2,13.946,1,0,1,5fe75ddffef4d157617afc85,Portuguese,19,Male,condition 2,4.172183333,FALSE,5
121,22.57,5,4,6,18.173,5,2,5,5.173,5,6.384,2,5.902,7,10.188,2,11.156,2,17.42,0,0,1,616829767ddec9e42886501d,English,36,Female,condition 1,4.006433333,FALSE,7.5
123,19.997,1,1,9,14.282,1,1,9,6.016,4,4.205,9,5.442,9,7.786,4,15.03,2,11.883,0,0,1,604cd7336ec393be8f7cfdf9,Portuguese,NA,NA,condition 1,3.479333333,FALSE,9
124,28.037,1,1,8,23.567,6,8,2,3.501,9,7.44,2,5.261,4,6.25,3,9.609,2,11.996,0,0,1,5a8bff4f000dab00018ccfce,English,26,Female,condition 1,3.935933333,FALSE,7.5
125,22.968,1,1,9,17.808,5,9,1,7.09,9,3.459,1,7.989,6,9.205,3,21.645,2,17.838,1,0,1,6024c1edf9b0e11f13c59cbd,Portuguese,NA,NA,condition 1,3.5286,FALSE,6
127,82.659,1,2,9,125.323,4,8,6,8.926,9,9.039,7,12.853,7,10.534,1,29.032,2,11.831,0,0,1,5773ac203146cb0001d1a27b,Cantonese,66,Female,condition 1,8.218666667,FALSE,6.5
131,53.886,6,1,9,17.273,9,1,9,6.767,7,4.471,3,5.391,4,6.997,2,22.99,3,13.309,1,0,0,5ec3ee66450ed7091d2b5fa1,portuguese,20,Female,condition 1,6.232316667,FALSE,6.5
132,33.463,1,1,9,18.781,1,1,9,10.936,7,6.455,9,5.715,9,7.085,1,14.151,2,19.129,0,0,1,6134deb0f64c920744a4b50c,English,24,Female,condition 1,4.7122,FALSE,7.5
134,18.423,9,4,7,9.899,1,9,9,3.546,9,1.467,9,10.802,9,3.808,2,12.832,2,8.271,0,0,1,5eada38722d640067ef3160a,Hungarian,21,Male,condition 2,3.148816667,FALSE,9
135,20.852,1,1,9,14.423,1,1,9,2.845,1,1.318,9,5.545,8,4.789,2,9.37,2,6.145,0,0,1,5fdb6d2e9059456a4ffb0e24,Portuguese,21,Male,condition 2,2.618583333,FALSE,9
136,51.292,9,5,9,30.25,6,7,9,6.031,8,5.479,7,4.185,6,5.991,8,7.029,2,12.157,0,0,1,615195c4b17a88281b916f35,ENGLISH,55,Female,condition 2,4.892866667,FALSE,6.5
139,50.004,1,5,8,23.468,8,2,8,4.01,7,2.144,7,4.969,8,27.824,3,23.963,2,26.427,0,0,1,615abed6ff1dbe448ee251fa,italian,NA,NA,condition 2,5.478916667,FALSE,8
140,20.693,1,1,9,18.997,1,9,6,6.327,9,5.409,6,5.345,5,5.569,1,8.745,2,11.895,0,0,1,610d37d392eceefd0088077b,NA,NA,NA,condition 1,6.55495,FALSE,9
141,13.283,1,1,9,14.032,1,7,1,2.751,9,2.464,1,5.103,2,7.491,2,14.679,2,9.885,0,0,1,5adf4b5b84d77d00014ae2ad,Polish,27,Male,condition 1,2.987333333,FALSE,5.5
145,78.292,1,1,9,44.83,7,2,9,5.499,8,18.443,8,32.212,5,13.96,5,40.994,2,17.467,0,0,1,614e351010435c9f51dee6bf,sesotho,26,Female,condition 1,9.830883333,FALSE,8
147,21.037,1,1,9,22.677,5,5,1,4.967,7,3.128,1,7.405,5,9.139,2,8.289,2,7.506,0,0,1,5f468185fdf3cf046a287a2d,Polish,18,Male,condition 1,3.6648,FALSE,8
148,20.606,1,1,9,28.581,3,2,8,9.744,3,2.247,8,7.36,8,12.639,2,11.238,2,10.454,0,0,1,5da329d4e6307e0016d01af8,italian,56,Male,condition 1,7.662483333,FALSE,8
149,30.071,2,2,8,19.566,2,8,1,7.575,7,4.055,2,6.248,6,8.567,7,30.127,2,14.319,0,0,1,6022ab2c61828901ec3e13e6,Português,19,Female,condition 1,9.317733333,FALSE,4.5
151,48.002,1,5,9,32.478,8,8,1,10.369,7,4.274,1,7.857,7,14.724,2,16.142,2,17.371,0,0,1,5e8f20a3d8c3591dcf96a249,Portuguese,34,Male,condition 1,5.47115,FALSE,8
