,relationRT,relationOrange,relationBlue,relationOrangeBlue,expRT,expOrange,expBlue,expBoth,intention1RT,intention1,intention2RT,intention2,desireRT,desire,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relationBlueNorm,relationOrangeNorm,relationOrangeBlueNorm,max,expBlueNorm,expOrangeNorm,expBothNorm,expectationMax
96,80.122,2,2,9,18.159,3,9,8,8.75,8,3.742,9,3.778,9,4.474,9,7.519,5,15.603,2,14.728,0,0,1,6102db96d41a4bf54acd678b,ENGLISH,28,Male,condition 2,4.952983333,FALSE,8.5,0.153846154,0.153846154,0.692307692,13,0.45,0.15,0.4,20
97,18.368,5,5,9,23.231,4,9,5,52.01,6,4.26,9,3.674,9,5.038,6,5.773,1,10.864,2,9.789,0,0,1,608539cd54e4230bbaaf4959,NA,NA,NA,condition 1,4.053416667,FALSE,7.5,0.263157895,0.263157895,0.473684211,19,0.5,0.222222222,0.277777778,18
98,30.396,5,5,8,18.375,5,5,9,5.897,8,3.892,8,5.282,9,7.294,8,8.415,3,13.389,2,44.239,0,0,1,5d57c3ebb125380017b555db,Greek,NA,NA,condition 1,4.236316667,FALSE,8,0.277777778,0.277777778,0.444444444,18,0.263157895,0.263157895,0.473684211,19
99,21.835,9,5,7,10.756,9,5,7,6.127,8,3.899,9,6.39,8,5.831,7,8.929,3,10.31,2,11.177,0,0,1,60feb47fe649c047dc5b75a5,dutch,23,Male,condition 2,3.461616667,FALSE,8.5,0.238095238,0.428571429,0.333333333,21,0.238095238,0.428571429,0.333333333,21
100,109.343,4,1,9,24.809,7,9,3,6.025,9,7.262,9,9.792,8,5.578,2,5.796,8,8.239,2,15.956,0,0,1,60199372bd48490e12a0d92e,Slovene,21,Male,condition 1,5.2174,FALSE,9,0.071428571,0.285714286,0.642857143,14,0.473684211,0.368421053,0.157894737,19
101,36.678,9,1,3,25.18,9,9,1,15.318,9,4.885,9,4.197,9,9.42,7,11.198,2,20.499,2,25.046,0,0,1,61060a3c9b601e8b2bb842ea,Spanish,NA,NA,condition 1,6.59135,FALSE,9,0.076923077,0.692307692,0.230769231,13,0.473684211,0.473684211,0.052631579,19
102,19.559,1,1,9,15.968,2,2,9,5.339,9,5.968,9,6.21,9,4.497,9,9.146,1,21.477,2,11.671,0,0,1,58905562670d6600012bda4b,Spanish,47,Male,condition 2,4.64015,FALSE,9,0.090909091,0.090909091,0.818181818,11,0.153846154,0.153846154,0.692307692,13
103,19.766,9,5,5,15.093,6,9,2,5.587,9,2.976,9,4.567,9,7.28,8,7.008,1,10.311,2,29.426,0,0,1,60f13031a4a3cc31dc71cf93,Italian,32,Male,condition 1,4.0672,FALSE,9,0.263157895,0.473684211,0.263157895,19,0.529411765,0.352941176,0.117647059,17
104,22.955,1,1,9,16.802,8,5,5,7.231,7,2.484,8,3.367,8,7.174,2,8.017,2,8.422,2,11.508,0,0,1,60ec2898e98488fc6b9d0aa6,Polish,19,Male,condition 1,3.589933333,FALSE,7.5,0.090909091,0.090909091,0.818181818,11,0.277777778,0.444444444,0.277777778,18
105,24.634,1,1,9,22.352,4,8,7,8.511,9,4.533,9,6.658,9,9.995,6,6.016,1,12.595,2,10.858,0,0,1,6166eb40f3fdb397f7333849,Hebrew,27,Male,condition 1,3.885033333,FALSE,9,0.090909091,0.090909091,0.818181818,11,0.421052632,0.210526316,0.368421053,19
