,relation1RT,relation1Orange,relation1Blue,relation1OrangeBlue,relation2RT,relation2Orange,relation2Blue,relation2OrangeBlue,relation3RT,relation3Orange,relation3Blue,relation3OrangeBlue,relation4RT,relation4Orange,relation4Blue,relation4OrangeBlue,relation5RT,relation5Orange,relation5Blue,relation5OrangeBlue,expRT,expOrange,expBlue,expBoth,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relation1BlueNorm,relation1OrangeNorm,relation1OrangeBlueNorm,max,relation2BlueNorm,relation2OrangeNorm,relation2OrangeBlueNorm,relation3BlueNorm,relation3OrangeNorm,relation3OrangeBlueNorm,relation4BlueNorm,relation4OrangeNorm,relation4OrangeBlueNorm,relation5BlueNorm,relation5OrangeNorm,relation5OrangeBlueNorm
83,33.947,9,5,5,14.726,9,5,5,8.089,9,5,5,6.786,7,1,9,13.806,9,5,9,22.669,5,9,5,6.649,1,11.754,2,14.919,0,0,1,5e4f1363edc692368ec41d6c,English,25,Female,condition 2,5.14945,FALSE,8,0.263157895,0.473684211,0.263157895,23,0.263157895,0.473684211,0.263157895,0.263157895,0.473684211,0.263157895,0.058823529,0.411764706,0.529411765,0.217391304,0.391304348,0.391304348
84,47.727,8,6,4,15.443,8,4,2,13.655,8,1,2,8.742,8,1,2,13.905,1,1,9,43.89,4,4,6,4.472,1,11.169,2,59.851,0,0,1,60a56c9d1d96978bf54b6777,Polish,20,Female,condition 1,7.09855,FALSE,7,0.333333333,0.444444444,0.222222222,11,0.285714286,0.571428571,0.142857143,0.090909091,0.727272727,0.181818182,0.090909091,0.727272727,0.181818182,0.090909091,0.090909091,0.818181818
85,29.84,5,7,9,18.051,9,5,5,4.292,9,5,5,3.622,9,5,5,8.974,8,5,8,18.502,6,8,8,5.804,2,8.472,2,6.297,0,0,1,61477af04f922bba4fab7ba6,Portuguese,19,Male,condition 2,4.19525,FALSE,6,0.333333333,0.238095238,0.428571429,21,0.263157895,0.473684211,0.263157895,0.263157895,0.473684211,0.263157895,0.263157895,0.473684211,0.263157895,0.238095238,0.380952381,0.380952381
86,27.039,3,8,4,11.893,2,8,4,14.647,3,7,5,13.627,5,6,6,18.889,5,5,9,20.201,7,2,5,6.377,1,10.317,2,11.694,0,0,1,6086b9cc58c7269cc737c68e,Polish,19,Female,condition 2,6.357166667,FALSE,8,0.533333333,0.2,0.266666667,19,0.571428571,0.142857143,0.285714286,0.466666667,0.2,0.333333333,0.352941176,0.294117647,0.352941176,0.263157895,0.263157895,0.473684211
87,41.358,6,3,2,20.169,5,3,2,6.708,5,3,2,10.363,5,3,2,21.202,2,2,6,29.192,6,3,2,8.818,2,12.966,2,19.508,0,0,1,5f6677f7035c6c267ea50fed,Spanish,43,Male,condition 2,6.872183333,FALSE,8.5,0.272727273,0.545454545,0.181818182,10,0.3,0.5,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.2,0.2,0.6
88,58.04,5,7,6,14.463,5,7,3,18.157,4,7,3,16.771,4,7,6,24.835,2,2,9,22.411,5,8,3,5.982,2,17.169,2,12.305,0,0,1,5be421c4810cdd00015c59f1,NA,47,Female,condition 2,6.2371,FALSE,6,0.388888889,0.277777778,0.333333333,13,0.466666667,0.333333333,0.2,0.5,0.285714286,0.214285714,0.411764706,0.235294118,0.352941176,0.153846154,0.153846154,0.692307692
89,22.683,5,5,5,13.89,5,7,6,7.929,5,7,6,13.302,7,7,7,8.852,8,8,9,14.876,3,7,5,25.194,2,8.982,2,9.357,0,0,1,60bcc3fb31c7cbb2f165ca2a,NA,NA,NA,condition 1,6.3899,FALSE,8,0.333333333,0.333333333,0.333333333,25,0.388888889,0.277777778,0.333333333,0.388888889,0.277777778,0.333333333,0.333333333,0.333333333,0.333333333,0.32,0.32,0.36
90,24.852,5,6,4,13.043,3,8,6,11.962,4,6,7,10.486,6,6,8,8.577,1,1,9,21.897,4,8,6,4.259,1,9.92,2,9.944,0,0,1,5e9f1f0a0de35f056a5ff749,Polish,20,Male,condition 2,4.027166667,FALSE,6,0.4,0.333333333,0.266666667,11,0.470588235,0.176470588,0.352941176,0.352941176,0.235294118,0.411764706,0.3,0.3,0.4,0.090909091,0.090909091,0.818181818
91,46.039,5,5,2,17.794,5,6,3,9.749,6,4,5,9.92,6,3,5,14.485,5,1,7,15.327,5,7,3,6.136,2,14.307,2,8.348,0,0,1,6110fb15fdcf6ab5ca0893df,English,24,Female,condition 1,5.597583333,FALSE,7.5,0.416666667,0.416666667,0.166666667,13,0.428571429,0.357142857,0.214285714,0.266666667,0.4,0.333333333,0.214285714,0.428571429,0.357142857,0.076923077,0.384615385,0.538461538
92,48.556,5,7,6,13.223,5,7,5,13.668,7,4,6,10.813,6,3,5,14.865,7,3,6,24.101,4,7,6,8.857,3,10.36,2,16.281,0,0,1,60950eabc24b73ee60bdf5be,greek,22,Female,condition 2,5.730533333,FALSE,5.5,0.388888889,0.277777778,0.333333333,16,0.411764706,0.294117647,0.294117647,0.235294118,0.411764706,0.352941176,0.214285714,0.428571429,0.357142857,0.1875,0.4375,0.375
